	ENSEMBL_ID
0	ENST00000335137.3
1	ENST00000624431.1
2	ENST00000623834.3
3	ENST00000623083.3
4	ENST00000624735.1
5	ENST00000426406.2
6	ENST00000332831.3
7	ENST00000420190.5
8	ENST00000437963.5
9	ENST00000342066.7
10	ENST00000618181.4
11	ENST00000622503.4
12	ENST00000618323.4
13	ENST00000616016.4
14	ENST00000618779.4
15	ENST00000616125.4
16	ENST00000620200.4
17	ENST00000617307.4
18	ENST00000341065.8
19	ENST00000455979.1
20	ENST00000327044.6
21	ENST00000338591.7
22	ENST00000622660.1
23	ENST00000379410.7
24	ENST00000379407.7
25	ENST00000379409.6
26	ENST00000491024.1
27	ENST00000341290.6
28	ENST00000433179.3
29	ENST00000428771.6
30	ENST00000304952.10
31	ENST00000484667.2
32	ENST00000624697.3
33	ENST00000624652.1
34	ENST00000379389.4
35	ENST00000379370.6
36	ENST00000620552.4
37	ENST00000419249.1
38	ENST00000453464.2
39	ENST00000379339.5
40	ENST00000421241.6
41	ENST00000379320.5
42	ENST00000379319.5
43	ENST00000434641.5
44	ENST00000462097.5
45	ENST00000475119.5
46	ENST00000442117.5
47	ENST00000427787.5
48	ENST00000480643.1
49	ENST00000379290.5
50	ENST00000379289.5
51	ENST00000379288.3
52	ENST00000328596.10
53	ENST00000379268.6
54	ENST00000486728.5
55	ENST00000379265.5
56	ENST00000379236.3
57	ENST00000360001.10
58	ENST00000263741.11
59	ENST00000403997.2
60	ENST00000379198.3
61	ENST00000330388.2
62	ENST00000347370.6
63	ENST00000349431.10
64	ENST00000400929.6
65	ENST00000360466.6
66	ENST00000400930.8
67	ENST00000435198.5
68	ENST00000509720.5
69	ENST00000422076.5
70	ENST00000502382.1
71	ENST00000488418.2
72	ENST00000379116.9
73	ENST00000338555.6
74	ENST00000616713.4
75	ENST00000400928.7
76	ENST00000470022.1
77	ENST00000325425.12
78	ENST00000379099.3
79	ENST00000354700.9
80	ENST00000353662.4
81	ENST00000379031.9
82	ENST00000467712.1
83	ENST00000540437.5
84	ENST00000545578.5
85	ENST00000620829.4
86	ENST00000618806.4
87	ENST00000435064.5
88	ENST00000411962.5
89	ENST00000421495.6
90	ENST00000419704.5
91	ENST00000450926.6
92	ENST00000434694.6
93	ENST00000526332.5
94	ENST00000527719.5
95	ENST00000530031.5
96	ENST00000429572.5
97	ENST00000534345.5
98	ENST00000498476.6
99	ENST00000627245.1
100	ENST00000343938.8
101	ENST00000488011.1
102	ENST00000339381.5
103	ENST00000378891.9
104	ENST00000378888.9
105	ENST00000610709.2
106	ENST00000632445.1
107	ENST00000631679.1
108	ENST00000342753.8
109	ENST00000309212.10
110	ENST00000445648.5
111	ENST00000477278.3
112	ENST00000338370.7
113	ENST00000338338.9
114	ENST00000321751.9
115	ENST00000378853.3
116	ENST00000400809.7
117	ENST00000408952.8
118	ENST00000408918.8
119	ENST00000497013.1
120	ENST00000344843.11
121	ENST00000492508.1
122	ENST00000482352.1
123	ENST00000520296.5
124	ENST00000427211.3
125	ENST00000537107.5
126	ENST00000454272.2
127	ENST00000442470.1
128	ENST00000378821.3
129	ENST00000495558.1
130	ENST00000338660.5
131	ENST00000476993.1
132	ENST00000471398.1
133	ENST00000378785.6
134	ENST00000475091.2
135	ENST00000308647.7
136	ENST00000378756.7
137	ENST00000378755.9
138	ENST00000339113.8
139	ENST00000536055.5
140	ENST00000400830.3
141	ENST00000378733.8
142	ENST00000425828.1
143	ENST00000624426.1
144	ENST00000291386.3
145	ENST00000359060.5
146	ENST00000624594.1
147	ENST00000422725.3
148	ENST00000520777.5
149	ENST00000355826.9
150	ENST00000518681.5
151	ENST00000505820.6
152	ENST00000378712.5
153	ENST00000510793.5
154	ENST00000504599.5
155	ENST00000503789.5
156	ENST00000378708.5
157	ENST00000514234.5
158	ENST00000483015.1
159	ENST00000356026.9
160	ENST00000472264.1
161	ENST00000378675.7
162	ENST00000618459.4
163	ENST00000412810.6
164	ENST00000479814.5
165	ENST00000435358.5
166	ENST00000503792.1
167	ENST00000341832.10
168	ENST00000407249.7
169	ENST00000340677.9
170	ENST00000629289.2
171	ENST00000626918.2
172	ENST00000629312.2
173	ENST00000317673.8
174	ENST00000614300.4
175	ENST00000617444.4
176	ENST00000611123.1
177	ENST00000356200.7
178	ENST00000378638.6
179	ENST00000404249.7
180	ENST00000357760.6
181	ENST00000358779.9
182	ENST00000378633.5
183	ENST00000479362.1
184	ENST00000401096.2
185	ENST00000355439.6
186	ENST00000246421.4
187	ENST00000341426.9
188	ENST00000341991.7
189	ENST00000378625.5
190	ENST00000342348.9
191	ENST00000469045.5
192	ENST00000610897.4
193	ENST00000615252.4
194	ENST00000378609.8
