	Gene
0	A1BG
1	A1CF
2	A2M
3	A2ML1
4	A3GALT2
5	A4GALT
6	A4GNT
7	AAAS
8	AACS
9	AADAC
10	AADACL2
11	AADACL3
12	AADACL4
13	AADAT
14	AAED1
15	AAGAB
16	AAK1
17	AAMDC
18	AAMP
19	AANAT
20	AAR2
21	AARD
22	AARS
23	AARS2
24	AARSD1
25	AASDH
26	AASDHPPT
27	AASS
28	AATF
29	AATK
30	ABAT
31	ABC7-42404400C24.1
32	ABCA1
33	ABCA10
34	ABCA12
35	ABCA13
36	ABCA2
37	ABCA3
38	ABCA4
39	ABCA5
40	ABCA6
41	ABCA7
42	ABCA8
43	ABCA9
44	ABCB1
45	ABCB10
46	ABCB11
47	ABCB4
48	ABCB5
49	ABCB6
50	ABCB7
51	ABCB8
52	ABCB9
53	ABCC1
54	ABCC10
55	ABCC11
56	ABCC12
57	ABCC2
58	ABCC3
59	ABCC4
60	ABCC5
61	ABCC6
62	ABCC8
63	ABCC9
64	ABCD1
65	ABCD2
66	ABCD3
67	ABCD4
68	ABCE1
69	ABCF1
70	ABCF2
71	ABCF3
72	ABCG1
73	ABCG2
74	ABCG4
75	ABCG5
76	ABCG8
77	ABHD1
78	ABHD10
79	ABHD11
80	ABHD12
81	ABHD12B
82	ABHD13
83	ABHD14A
84	ABHD14A-ACY1
85	ABHD14B
86	ABHD15
87	ABHD16A
88	ABHD16B
89	ABHD17A
90	ABHD17B
91	ABHD17C
92	ABHD2
93	ABHD3
94	ABHD4
95	ABHD5
96	ABHD6
97	ABHD8
98	ABI1
99	ABI2
100	ABI3
101	ABI3BP
102	ABL1
103	ABL2
104	ABLIM1
105	ABLIM2
106	ABLIM3
107	ABO
108	ABR
109	ABRA
110	ABRACL
111	ABT1
112	ABTB1
113	ABTB2
114	AC002310.13
115	AC003002.4
116	AC003002.6
117	AC003006.7
118	AC004076.7
119	AC004076.9
120	AC004158.1
121	AC004231.7
122	AC004381.6
123	AC004556.1
124	AC004754.3
125	AC004813.1
126	AC004824.2
127	AC004853.1
128	AC004953.1
129	AC005042.1
130	AC005477.1
131	AC005480.1
132	AC006328.4
133	AC006386.1
134	AC006445.1
135	AC006449.1
136	AC006449.2
137	AC006486.9
138	AC006538.4
139	AC006547.14
140	AC006994.3
141	AC007040.11
142	AC007163.2
143	AC007325.1
144	AC007325.2
145	AC007326.1
146	AC007557.5
147	AC007906.1
148	AC008074.1
149	AC008622.1
150	AC008641.1
151	AC008686.1
152	AC008759.1
153	AC008810.1
154	AC008914.1
155	AC009022.1
156	AC009060.2
157	AC009065.4
158	AC009121.2
159	AC009133.22
160	AC009286.1
161	AC009491.1
162	AC009491.2
163	AC009758.1
164	AC009950.1
165	AC009977.1
166	AC010184.1
167	AC010287.1
168	AC010646.3
169	AC010655.1
170	AC011043.1
171	AC011043.2
172	AC011155.1
173	AC011295.1
174	AC011380.1
175	AC011476.1
176	AC011476.10
177	AC011476.11
178	AC011476.12
179	AC011476.13
180	AC011476.14
181	AC011476.15
182	AC011476.16
183	AC011476.17
184	AC011476.18
185	AC011476.19
186	AC011476.2
187	AC011476.20
188	AC011476.21
189	AC011476.22
190	AC011476.23
191	AC011476.3
192	AC011476.4
193	AC011476.5
194	AC011476.6
195	AC011476.7
196	AC011476.8
197	AC011476.9
198	AC011513.3
199	AC011530.4
200	AC011841.1
201	AC012005.3
202	AC012005.4
203	AC012314.1
204	AC012314.10
205	AC012314.11
206	AC012314.12
207	AC012314.13
208	AC012314.14
209	AC012314.15
210	AC012314.16
211	AC012314.17
212	AC012314.18
213	AC012314.21
214	AC012314.22
215	AC012314.23
216	AC012314.24
217	AC012314.25
218	AC012314.26
219	AC012314.27
220	AC012314.28
221	AC012314.29
222	AC012314.3
223	AC012314.30
224	AC012314.31
225	AC012314.32
226	AC012314.33
